Date,Production,Scope
8/08/2016,159,289
9/08/2016,159,289
10/08/2016,159,289
11/08/2016,159,289
12/08/2016,159,289
15/08/2016,159,289
16/08/2016,159,289
17/08/2016,159,289
18/08/2016,159,289
19/08/2016,159,289
22/08/2016,159,289
23/08/2016,159,289
24/08/2016,159,289
25/08/2016,159,289
26/08/2016,159,289
29/08/2016,159,289
30/08/2016,159,289
31/08/2016,159,289
1/09/2016,159,289
2/09/2016,159,289
5/09/2016,159,289
6/09/2016,159,289
7/09/2016,159,289
8/09/2016,159,289
9/09/2016,159,289
12/09/2016,159,289
13/09/2016,159,289
14/09/2016,159,289
15/09/2016,159,289
16/09/2016,159,289
19/09/2016,159,289
20/09/2016,159,289
21/09/2016,159,289
22/09/2016,159,289
23/09/2016,159,289
26/09/2016,159,289
27/09/2016,159,289
28/09/2016,159,289
29/09/2016,159,289
30/09/2016,159,289
3/10/2016,159,289
4/10/2016,159,289
5/10/2016,159,289
6/10/2016,159,289
7/10/2016,159,289
10/10/2016,159,289
11/10/2016,159,289
12/10/2016,159,289
13/10/2016,159,289
14/10/2016,159,289
17/10/2016,159,289
18/10/2016,159,289
19/10/2016,159,289
20/10/2016,159,289
21/10/2016,159,289
24/10/2016,159,289
25/10/2016,159,289
26/10/2016,159,289
27/10/2016,159,289
28/10/2016,159,289
31/10/2016,159,289
1/11/2016,159,289
2/11/2016,159,289
3/11/2016,159,289
4/11/2016,159,289
7/11/2016,159,289
8/11/2016,159,289
9/11/2016,159,289
10/11/2016,159,289
11/11/2016,159,289
14/11/2016,159,289
15/11/2016,159,289
16/11/2016,159,289
17/11/2016,159,289
18/11/2016,159,289
21/11/2016,159,289
22/11/2016,159,289
23/11/2016,159,289
24/11/2016,159,289
25/11/2016,159,289
28/11/2016,159,289
29/11/2016,159,289
30/11/2016,159,289
1/12/2016,159,289
2/12/2016,159,289
5/12/2016,159,289
6/12/2016,159,289
7/12/2016,159,289
8/12/2016,159,289
9/12/2016,159,289
12/12/2016,159,289
13/12/2016,159,289
14/12/2016,159,289
15/12/2016,159,289
16/12/2016,159,289
19/12/2016,159,289
20/12/2016,159,289
21/12/2016,159,289
22/12/2016,159,289
23/12/2016,159,289
26/12/2016,159,289
27/12/2016,159,289
28/12/2016,159,289
29/12/2016,159,289
30/12/2016,159,289
